"Team Number","Team Name","Number of Matches","Ranking Points","Win Percent","Auto Mobility","Auto Switch","Auto Scale","Tele Switch","Opponent Switch","Tele Scale","No Cubes in Vault","No of Climbs","No of Parks","Foul Points","Average Score","Best Match","Worst Match"
"4909","Bionics","6","2","33.33","7.5","1.83","0.0","126.0","-132.5","46.83","3.83","0","4","7","-26.67","241.17","<a href=https://www.thebluealliance.com/match/2018week0_qf4m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm3 target='_blank'>qm3</a>"
"501","The PowerKnights","6","2","33.33","4.17","0.0","0.0","40.0","-106.5","38.67","1.83","1","3","3","-4.17","143.67","<a href=https://www.thebluealliance.com/match/2018week0_qf1m1 target='_blank'>qf-1</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm12 target='_blank'>qm12</a>"
"509","Red Storm","5","4","40.0","8.0","0.0","0.0","93.0","-80.2","26.0","3.8","1","4","2","-3.0","183.0","<a href=https://www.thebluealliance.com/match/2018week0_qm4 target='_blank'>qm4</a>","<a href=https://www.thebluealliance.com/match/2018week0_qf3m1 target='_blank'>qf-1</a>"
"5459","Ipswich TIGERS","12","2","50.0","9.17","6.42","0.0","118.33","-112.58","49.17","2.75","9","8","10","-9.58","267.83","<a href=https://www.thebluealliance.com/match/2018week0_qf4m1 target='_blank'>qf1</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm2 target='_blank'>qm2</a>"
"5687","The Outliers","12","7","75.0","9.17","2.83","0.0","126.92","-69.58","70.25","3.75","3","7","10","-14.58","267.0","<a href=https://www.thebluealliance.com/match/2018week0_qm10 target='_blank'>qm10</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm2 target='_blank'>qm2</a>"
"58","The Riot Crew","8","2","37.5","10.0","2.0","0.0","89.62","-109.0","43.62","1.88","1","3","9","-10.62","191.0","<a href=https://www.thebluealliance.com/match/2018week0_qf2m3 target='_blank'>qf3</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm10 target='_blank'>qm10</a>"
"5813","Morpheus","12","6","66.67","10.42","6.42","0.0","115.42","-118.92","69.25","2.67","9","7","10","-3.75","277.92","<a href=https://www.thebluealliance.com/match/2018week0_qf4m1 target='_blank'>qf1</a>","<a href=https://www.thebluealliance.com/match/2018week0_f1m4 target='_blank'>f4</a>"
"6153","Blue Crew","7","0","28.57","12.14","1.29","1.14","98.86","-105.0","52.14","2.43","0","3","8","-9.29","204.57","<a href=https://www.thebluealliance.com/match/2018week0_qf3m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm10 target='_blank'>qm10</a>"
"7314","Tornadoes","8","4","50.0","9.38","2.0","0.0","85.25","-122.5","58.75","2.38","1","5","10","-16.25","204.88","<a href=https://www.thebluealliance.com/match/2018week0_qf2m3 target='_blank'>qf3</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm1 target='_blank'>qm1</a>"
"78","AIR STRIKE","13","6","61.54","8.85","7.38","0.0","112.62","-112.38","55.23","2.92","9","8","10","-1.92","268.38","<a href=https://www.thebluealliance.com/match/2018week0_qf4m1 target='_blank'>qf1</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm4 target='_blank'>qm4</a>"
"811","Cardinals","5","3","20.0","5.0","0.0","0.0","74.4","-112.8","31.8","4.4","3","5","2","0.0","188.2","<a href=https://www.thebluealliance.com/match/2018week0_qm10 target='_blank'>qm10</a>","<a href=https://www.thebluealliance.com/match/2018week0_qm2 target='_blank'>qm2</a>"
